transcript_ID,gene_ID
FBtr0100594,FBgn0000055
FBtr0006151,FBgn0000056
FBtr0100187,FBgn0000056
FBtr0343699,FBgn0000056
FBtr0086744,FBgn0000057
FBtr0340288,FBgn0000057
FBtr0078053,FBgn0000061
FBtr0083478,FBgn0000063
FBtr0331348,FBgn0000063
FBtr0084994,FBgn0000064
FBtr0084995,FBgn0000064
FBtr0084999,FBgn0000064
FBtr0085000,FBgn0000064
FBtr0085001,FBgn0000064
FBtr0114544,FBgn0000064
FBtr0306657,FBgn0000064
FBtr0310660,FBgn0000064
FBtr0310661,FBgn0000064
FBtr0339614,FBgn0000064
FBtr0081618,FBgn0000071
FBtr0081619,FBgn0000071
FBtr0081620,FBgn0000071
FBtr0081153,FBgn0000075
FBtr0081154,FBgn0000075
FBtr0071331,FBgn0000077
FBtr0307281,FBgn0000077
FBtr0086983,FBgn0000078
FBtr0087004,FBgn0000079
FBtr0345521,FBgn0000079
FBtr0089517,FBgn0000083
FBtr0089518,FBgn0000083
FBtr0089519,FBgn0000083
FBtr0089520,FBgn0000083
FBtr0336797,FBgn0000083
FBtr0336798,FBgn0000083
FBtr0070025,FBgn0000084
FBtr0301931,FBgn0000084
FBtr0070504,FBgn0000092
FBtr0085611,FBgn0000094
FBtr0346141,FBgn0000094
FBtr0077850,FBgn0000097
FBtr0077851,FBgn0000097
FBtr0330658,FBgn0000097
FBtr0330659,FBgn0000097
FBtr0330660,FBgn0000097
FBtr0078481,FBgn0000100
FBtr0334113,FBgn0000100
FBtr0070109,FBgn0000108
FBtr0307291,FBgn0000108
FBtr0307292,FBgn0000108
FBtr0307293,FBgn0000108
FBtr0307294,FBgn0000108
FBtr0307295,FBgn0000108
FBtr0089420,FBgn0000109
FBtr0346440,FBgn0000109
FBtr0346441,FBgn0000109
FBtr0080344,FBgn0000114
FBtr0080345,FBgn0000114
FBtr0080347,FBgn0000114
FBtr0300567,FBgn0000114
FBtr0331644,FBgn0000114
FBtr0331645,FBgn0000114
FBtr0331646,FBgn0000114
FBtr0331647,FBgn0000114
FBtr0331648,FBgn0000114
FBtr0331998,FBgn0000114
FBtr0075517,FBgn0000115
FBtr0076543,FBgn0000116
FBtr0076544,FBgn0000116
FBtr0076545,FBgn0000116
FBtr0076546,FBgn0000116
FBtr0112791,FBgn0000116
FBtr0331550,FBgn0000116
FBtr0345030,FBgn0000116
FBtr0089988,FBgn0000117
FBtr0089989,FBgn0000117
FBtr0089990,FBgn0000117
FBtr0089991,FBgn0000117
FBtr0089992,FBgn0000117
FBtr0332583,FBgn0000117
FBtr0087702,FBgn0000119
FBtr0081030,FBgn0000120
FBtr0307350,FBgn0000120
FBtr0340229,FBgn0000120
FBtr0076599,FBgn0000121
FBtr0070075,FBgn0000137
FBtr0084659,FBgn0000139
FBtr0084660,FBgn0000139
FBtr0306171,FBgn0000139
FBtr0084692,FBgn0000140
FBtr0080165,FBgn0000146
FBtr0112793,FBgn0000146
FBtr0082483,FBgn0000147
FBtr0339146,FBgn0000150
FBtr0346150,FBgn0000150
FBtr0346611,FBgn0000150
FBtr0074372,FBgn0000152
FBtr0080542,FBgn0000153
FBtr0309960,FBgn0000153
FBtr0342712,FBgn0000153
FBtr0072378,FBgn0000157
FBtr0072379,FBgn0000157
FBtr0300076,FBgn0000157
FBtr0084869,FBgn0000158
FBtr0074388,FBgn0000163
FBtr0111000,FBgn0000163
FBtr0343763,FBgn0000163
FBtr0343764,FBgn0000163
FBtr0081664,FBgn0000166
FBtr0081665,FBgn0000166
FBtr0081666,FBgn0000166
FBtr0081667,FBgn0000166
FBtr0081668,FBgn0000166
FBtr0073855,FBgn0000173
FBtr0300566,FBgn0000173
FBtr0307296,FBgn0000173
FBtr0332843,FBgn0000173
FBtr0332844,FBgn0000173
FBtr0070672,FBgn0000179
FBtr0300608,FBgn0000179
FBtr0300609,FBgn0000179
FBtr0308914,FBgn0000179
FBtr0308915,FBgn0000179
FBtr0331162,FBgn0000179
FBtr0343569,FBgn0000179
FBtr0079929,FBgn0000180
FBtr0329984,FBgn0000180
FBtr0087782,FBgn0000181
FBtr0087783,FBgn0000181
FBtr0080803,FBgn0000182
FBtr0080804,FBgn0000182
FBtr0080805,FBgn0000182
FBtr0081002,FBgn0000183
FBtr0305688,FBgn0000183
FBtr0330225,FBgn0000183
FBtr0330226,FBgn0000183
FBtr0084949,FBgn0000206
FBtr0075523,FBgn0000212
FBtr0075524,FBgn0000212
FBtr0075525,FBgn0000212
FBtr0075526,FBgn0000212
FBtr0330160,FBgn0000212
FBtr0333580,FBgn0000212
FBtr0075621,FBgn0000216
FBtr0070638,FBgn0000221
FBtr0077423,FBgn0000227
FBtr0079084,FBgn0000228
FBtr0079085,FBgn0000228
FBtr0302567,FBgn0000228
FBtr0302568,FBgn0000228
FBtr0310624,FBgn0000228
FBtr0310625,FBgn0000228
FBtr0342939,FBgn0000228
FBtr0080087,FBgn0000229
FBtr0300982,FBgn0000229
FBtr0302378,FBgn0000229
FBtr0071379,FBgn0000233
FBtr0301342,FBgn0000239
FBtr0343875,FBgn0000239
FBtr0072117,FBgn0000241
FBtr0346612,FBgn0000241
FBtr0082119,FBgn0000244
FBtr0301093,FBgn0000244
FBtr0302382,FBgn0000244
FBtr0083194,FBgn0000246
FBtr0083195,FBgn0000246
FBtr0083196,FBgn0000246
FBtr0085484,FBgn0000247
FBtr0346613,FBgn0000247
FBtr0080844,FBgn0000250
FBtr0080845,FBgn0000250
FBtr0080846,FBgn0000250
FBtr0080847,FBgn0000250
FBtr0337081,FBgn0000250
FBtr0081412,FBgn0000251
FBtr0081413,FBgn0000251
FBtr0335152,FBgn0000251
FBtr0088001,FBgn0000253
FBtr0088002,FBgn0000253
FBtr0304963,FBgn0000253
FBtr0304964,FBgn0000253
FBtr0345018,FBgn0000253
FBtr0077511,FBgn0000256
FBtr0077512,FBgn0000256
FBtr0077513,FBgn0000256
FBtr0290077,FBgn0000256
FBtr0290078,FBgn0000256
FBtr0290079,FBgn0000256
FBtr0290080,FBgn0000256
FBtr0290081,FBgn0000256
FBtr0290082,FBgn0000256
FBtr0074727,FBgn0000257
FBtr0074728,FBgn0000257
FBtr0331158,FBgn0000257
FBtr0073558,FBgn0000259
FBtr0073560,FBgn0000259
FBtr0073561,FBgn0000259
FBtr0073562,FBgn0000259
FBtr0100540,FBgn0000259
FBtr0299569,FBgn0000259
FBtr0307896,FBgn0000259
FBtr0308084,FBgn0000259
FBtr0308085,FBgn0000259
FBtr0333204,FBgn0000259
FBtr0075058,FBgn0000261
FBtr0079851,FBgn0000273
FBtr0079852,FBgn0000273
FBtr0335495,FBgn0000273
FBtr0085727,FBgn0000274
FBtr0335454,FBgn0000274
FBtr0085612,FBgn0000276
FBtr0085614,FBgn0000277
FBtr0085640,FBgn0000278
FBtr0085616,FBgn0000279
FBtr0085613,FBgn0000280
FBtr0089614,FBgn0000281
FBtr0083126,FBgn0000283
FBtr0083127,FBgn0000283
FBtr0089647,FBgn0000286
FBtr0089648,FBgn0000286
FBtr0089649,FBgn0000286
FBtr0304887,FBgn0000286
FBtr0336835,FBgn0000286
FBtr0472669,FBgn0000286
FBtr0080235,FBgn0000287
FBtr0080236,FBgn0000287
FBtr0307093,FBgn0000287
FBtr0087526,FBgn0000289
FBtr0087527,FBgn0000289
FBtr0087528,FBgn0000289
FBtr0087529,FBgn0000289
FBtr0112795,FBgn0000289
FBtr0290034,FBgn0000289
FBtr0290035,FBgn0000289
FBtr0339960,FBgn0000289
FBtr0339961,FBgn0000289
FBtr0339962,FBgn0000289
FBtr0346946,FBgn0000289
FBtr0079001,FBgn0000299
FBtr0079002,FBgn0000299
FBtr0079003,FBgn0000299
FBtr0089367,FBgn0000303
FBtr0089368,FBgn0000303
FBtr0080838,FBgn0000307
FBtr0080839,FBgn0000307
FBtr0321313,FBgn0000307
FBtr0475053,FBgn0000307
FBtr0079233,FBgn0000308
FBtr0079234,FBgn0000308
FBtr0079235,FBgn0000308
FBtr0079236,FBgn0000308
FBtr0309212,FBgn0000308
FBtr0309213,FBgn0000308
FBtr0070064,FBgn0000316
FBtr0070065,FBgn0000316
FBtr0080723,FBgn0000317
FBtr0080724,FBgn0000317
FBtr0343686,FBgn0000317
FBtr0343687,FBgn0000317
FBtr0079095,FBgn0000318
FBtr0329967,FBgn0000318
FBtr0329968,FBgn0000318
FBtr0074179,FBgn0000319
FBtr0074180,FBgn0000319
FBtr0074181,FBgn0000319
FBtr0074182,FBgn0000319
FBtr0112797,FBgn0000319
FBtr0112798,FBgn0000319
FBtr0339445,FBgn0000319
FBtr0079334,FBgn0000320
FBtr0079335,FBgn0000320
FBtr0306113,FBgn0000320
FBtr0071687,FBgn0000326
FBtr0071033,FBgn0000330
FBtr0332315,FBgn0000330
FBtr0344723,FBgn0000337
FBtr0080848,FBgn0000339
FBtr0080849,FBgn0000339
FBtr0337082,FBgn0000339
FBtr0073754,FBgn0000346
FBtr0333329,FBgn0000346
FBtr0079320,FBgn0000351
FBtr0333350,FBgn0000351
FBtr0089015,FBgn0000352
FBtr0336916,FBgn0000352
FBtr0076572,FBgn0000355
FBtr0076574,FBgn0000356
FBtr0076571,FBgn0000357
FBtr0076573,FBgn0000358
FBtr0071203,FBgn0000359
FBtr0071204,FBgn0000360
FBtr0300448,FBgn0000360
FBtr0081512,FBgn0000370
FBtr0081513,FBgn0000370
FBtr0332001,FBgn0000370
FBtr0332002,FBgn0000370
FBtr0070495,FBgn0000376
FBtr0070496,FBgn0000376
FBtr0070418,FBgn0000377
FBtr0070378,FBgn0000382
FBtr0070379,FBgn0000382
FBtr0070380,FBgn0000382
FBtr0333260,FBgn0000382
FBtr0111126,FBgn0000384
FBtr0334157,FBgn0000384
FBtr0290322,FBgn0000392
FBtr0346452,FBgn0000392
FBtr0070804,FBgn0000394
FBtr0340464,FBgn0000394
FBtr0340465,FBgn0000394
FBtr0071610,FBgn0000395
FBtr0076075,FBgn0000404
FBtr0304650,FBgn0000404
FBtr0071911,FBgn0000405
FBtr0071913,FBgn0000405
FBtr0071914,FBgn0000405
FBtr0309858,FBgn0000405
FBtr0080932,FBgn0000406
FBtr0331931,FBgn0000406
FBtr0075746,FBgn0000411
FBtr0333034,FBgn0000411
FBtr0333035,FBgn0000411
FBtr0333036,FBgn0000411
FBtr0081987,FBgn0000412
FBtr0081988,FBgn0000412
FBtr0301524,FBgn0000412
FBtr0075318,FBgn0000414
FBtr0305084,FBgn0000414
FBtr0305085,FBgn0000414
FBtr0305086,FBgn0000414
FBtr0330189,FBgn0000414
FBtr0330190,FBgn0000414
FBtr0333625,FBgn0000414
FBtr0333626,FBgn0000414
FBtr0085713,FBgn0000416
FBtr0085714,FBgn0000416
FBtr0081166,FBgn0000422
FBtr0081167,FBgn0000422
FBtr0290291,FBgn0000422
FBtr0088010,FBgn0000426
FBtr0071145,FBgn0000427
FBtr0071146,FBgn0000427
FBtr0071147,FBgn0000427
FBtr0309795,FBgn0000427
FBtr0309796,FBgn0000427
FBtr0310269,FBgn0000427
FBtr0081621,FBgn0000439
FBtr0078042,FBgn0000442
FBtr0081890,FBgn0000447
FBtr0300442,FBgn0000447
FBtr0088366,FBgn0000448
FBtr0088368,FBgn0000448
FBtr0112799,FBgn0000448
FBtr0306345,FBgn0000448
FBtr0330609,FBgn0000448
FBtr0452140,FBgn0000448
FBtr0073205,FBgn0000449
FBtr0076305,FBgn0000451
FBtr0076307,FBgn0000451
FBtr0301385,FBgn0000451
FBtr0331551,FBgn0000451
FBtr0339899,FBgn0000451
FBtr0082831,FBgn0000454
FBtr0082832,FBgn0000454
FBtr0082833,FBgn0000454
FBtr0345229,FBgn0000454
FBtr0082597,FBgn0000455
FBtr0344982,FBgn0000455
FBtr0074250,FBgn0000459
FBtr0100384,FBgn0000459
FBtr0083739,FBgn0000463
FBtr0083740,FBgn0000463
FBtr0304658,FBgn0000463
FBtr0081260,FBgn0000464
FBtr0112800,FBgn0000464
FBtr0305950,FBgn0000464
FBtr0331239,FBgn0000464
FBtr0331240,FBgn0000464
FBtr0331241,FBgn0000464
FBtr0331242,FBgn0000464
FBtr0086133,FBgn0000473
FBtr0083538,FBgn0000477
FBtr0070509,FBgn0000479
FBtr0070511,FBgn0000479
FBtr0070512,FBgn0000479
FBtr0070513,FBgn0000479
FBtr0070515,FBgn0000479
FBtr0070517,FBgn0000479
FBtr0070518,FBgn0000479
FBtr0070519,FBgn0000479
FBtr0070520,FBgn0000479
FBtr0070521,FBgn0000479
FBtr0070522,FBgn0000479
FBtr0333312,FBgn0000479
FBtr0333313,FBgn0000479
FBtr0333314,FBgn0000479
FBtr0333315,FBgn0000479
FBtr0333316,FBgn0000479
FBtr0333317,FBgn0000479
FBtr0070269,FBgn0000482
FBtr0075528,FBgn0000489
FBtr0075529,FBgn0000489
FBtr0077771,FBgn0000490
FBtr0077772,FBgn0000490
FBtr0077773,FBgn0000490
FBtr0077775,FBgn0000490
FBtr0085441,FBgn0000492
FBtr0073454,FBgn0000499
FBtr0078989,FBgn0000500
FBtr0081759,FBgn0000504
FBtr0081760,FBgn0000504
FBtr0081761,FBgn0000504
FBtr0330073,FBgn0000504
FBtr0330074,FBgn0000504
FBtr0339710,FBgn0000504
FBtr0070487,FBgn0000520
FBtr0070914,FBgn0000524
FBtr0084106,FBgn0000527
FBtr0089320,FBgn0000529
FBtr0343855,FBgn0000529
FBtr0083083,FBgn0000533
FBtr0334588,FBgn0000533
FBtr0073955,FBgn0000535
FBtr0111009,FBgn0000535
FBtr0303285,FBgn0000535
FBtr0303286,FBgn0000535
FBtr0310014,FBgn0000535
FBtr0310015,FBgn0000535
FBtr0310016,FBgn0000535
FBtr0074211,FBgn0000536
FBtr0074212,FBgn0000536
FBtr0074214,FBgn0000536
FBtr0308617,FBgn0000536
FBtr0308618,FBgn0000536
FBtr0308619,FBgn0000536
FBtr0343519,FBgn0000536
FBtr0343520,FBgn0000536
FBtr0072521,FBgn0000541
FBtr0072522,FBgn0000541
FBtr0072523,FBgn0000541
FBtr0301348,FBgn0000541
FBtr0301349,FBgn0000541
FBtr0332101,FBgn0000541
FBtr0332102,FBgn0000541
FBtr0332103,FBgn0000541
FBtr0332104,FBgn0000541
FBtr0070606,FBgn0000542
FBtr0112801,FBgn0000542
FBtr0112802,FBgn0000542
FBtr0072903,FBgn0000543
FBtr0086008,FBgn0000546
FBtr0086009,FBgn0000546
FBtr0086010,FBgn0000546
FBtr0086011,FBgn0000546
FBtr0086012,FBgn0000546
FBtr0302439,FBgn0000546
FBtr0077465,FBgn0000547
FBtr0334265,FBgn0000547
FBtr0334266,FBgn0000547
FBtr0078408,FBgn0000551
FBtr0344634,FBgn0000551
FBtr0081688,FBgn0000552
FBtr0085832,FBgn0000557
FBtr0085833,FBgn0000557
FBtr0085834,FBgn0000557
FBtr0085835,FBgn0000557
FBtr0085911,FBgn0000559
FBtr0085912,FBgn0000559
FBtr0332966,FBgn0000559
FBtr0078437,FBgn0000560
FBtr0078438,FBgn0000560
FBtr0332810,FBgn0000560
FBtr0114586,FBgn0000562
FBtr0343272,FBgn0000562
FBtr0083444,FBgn0000564
FBtr0334930,FBgn0000564
FBtr0075552,FBgn0000565
FBtr0075553,FBgn0000565
FBtr0075554,FBgn0000565
FBtr0303531,FBgn0000565
FBtr0330176,FBgn0000565
FBtr0330177,FBgn0000565
FBtr0086710,FBgn0000566
FBtr0345422,FBgn0000566
FBtr0075202,FBgn0000567
FBtr0075203,FBgn0000567
FBtr0075204,FBgn0000567
FBtr0100411,FBgn0000567
FBtr0305796,FBgn0000567
FBtr0075148,FBgn0000568
FBtr0075149,FBgn0000568
FBtr0075150,FBgn0000568
FBtr0075151,FBgn0000568
FBtr0306813,FBgn0000568
FBtr0306814,FBgn0000568
FBtr0347013,FBgn0000568
FBtr0072578,FBgn0000575
FBtr0082863,FBgn0000576
FBtr0088095,FBgn0000577
FBtr0088096,FBgn0000577
FBtr0086582,FBgn0000578
FBtr0086583,FBgn0000578
FBtr0086584,FBgn0000578
FBtr0100174,FBgn0000578
FBtr0100176,FBgn0000578
FBtr0114623,FBgn0000578
FBtr0340450,FBgn0000578
FBtr0077905,FBgn0000579
FBtr0077906,FBgn0000579
FBtr0077907,FBgn0000579
FBtr0077908,FBgn0000579
FBtr0077909,FBgn0000579
FBtr0302115,FBgn0000579
FBtr0088139,FBgn0000581
FBtr0088140,FBgn0000581
FBtr0330621,FBgn0000581
FBtr0330622,FBgn0000581
FBtr0330623,FBgn0000581
FBtr0080325,FBgn0000588
FBtr0084961,FBgn0000591
FBtr0076003,FBgn0000592
FBtr0333383,FBgn0000592
FBtr0076004,FBgn0000594
FBtr0088390,FBgn0000606
FBtr0074135,FBgn0000611
FBtr0074137,FBgn0000611
FBtr0333322,FBgn0000611
FBtr0333323,FBgn0000611
FBtr0086242,FBgn0000615
FBtr0086243,FBgn0000615
FBtr0086244,FBgn0000615
FBtr0302285,FBgn0000615
FBtr0074463,FBgn0000617
FBtr0073540,FBgn0000618
FBtr0075979,FBgn0000625
FBtr0100170,FBgn0000625
FBtr0339921,FBgn0000625
FBtr0076279,FBgn0000629
FBtr0273338,FBgn0000629
FBtr0334067,FBgn0000629
FBtr0087625,FBgn0000633
FBtr0339940,FBgn0000633
FBtr0070665,FBgn0000635
FBtr0070666,FBgn0000635
FBtr0070667,FBgn0000635
FBtr0336882,FBgn0000635
FBtr0336884,FBgn0000635
FBtr0343523,FBgn0000635
FBtr0343524,FBgn0000635
FBtr0081051,FBgn0000636
FBtr0081052,FBgn0000636
FBtr0112804,FBgn0000636
FBtr0112805,FBgn0000636
FBtr0301391,FBgn0000636
FBtr0340580,FBgn0000636
FBtr0344782,FBgn0000636
FBtr0075749,FBgn0000639
FBtr0075750,FBgn0000639
FBtr0339515,FBgn0000639
FBtr0079808,FBgn0000640
FBtr0343428,FBgn0000640
FBtr0343429,FBgn0000640
FBtr0070542,FBgn0000644
FBtr0086754,FBgn0000658
FBtr0085321,FBgn0000659
FBtr0300259,FBgn0000659
FBtr0330333,FBgn0000659
FBtr0345227,FBgn0000659
FBtr0346765,FBgn0000659
FBtr0087647,FBgn0000662
FBtr0087648,FBgn0000662
FBtr0304696,FBgn0000662
FBtr0304697,FBgn0000662
FBtr0070343,FBgn0000667
FBtr0070344,FBgn0000667
FBtr0070345,FBgn0000667
FBtr0303048,FBgn0000667
FBtr0310657,FBgn0000667
FBtr0310658,FBgn0000667
FBtr0310659,FBgn0000667
FBtr0333801,FBgn0000667
FBtr0333802,FBgn0000667
FBtr0077192,FBgn0000709
FBtr0071446,FBgn0000711
FBtr0071447,FBgn0000711
FBtr0333305,FBgn0000711
FBtr0474146,FBgn0000711
FBtr0088383,FBgn0000715
FBtr0077342,FBgn0000719
FBtr0100538,FBgn0000719
FBtr0333179,FBgn0000719
FBtr0333180,FBgn0000719
FBtr0333181,FBgn0000719
FBtr0333182,FBgn0000719
FBtr0089304,FBgn0000721
FBtr0089306,FBgn0000721
FBtr0089307,FBgn0000721
FBtr0089308,FBgn0000721
FBtr0089309,FBgn0000721
FBtr0089310,FBgn0000721
FBtr0089312,FBgn0000721
FBtr0100363,FBgn0000721
FBtr0301399,FBgn0000721
FBtr0446099,FBgn0000721
FBtr0473363,FBgn0000721
FBtr0473364,FBgn0000721
FBtr0473365,FBgn0000721
FBtr0082051,FBgn0000723
FBtr0082052,FBgn0000723
FBtr0082053,FBgn0000723
FBtr0082054,FBgn0000723
FBtr0333295,FBgn0000723
FBtr0333296,FBgn0000723
FBtr0332308,FBgn0000808
FBtr0332309,FBgn0000808
FBtr0332310,FBgn0000808
FBtr0347416,FBgn0000808
FBtr0070396,FBgn0000810
FBtr0070234,FBgn0000826
FBtr0070485,FBgn0000927
FBtr0070484,FBgn0000928
FBtr0301669,FBgn0000964
FBtr0329891,FBgn0000964
FBtr0087387,FBgn0000996
FBtr0339999,FBgn0000996
FBtr0077478,FBgn0001075
FBtr0081625,FBgn0001077
FBtr0075086,FBgn0001078
FBtr0075087,FBgn0001078
FBtr0304627,FBgn0001078
FBtr0347045,FBgn0001078
FBtr0074602,FBgn0001079
FBtr0073580,FBgn0001083
FBtr0112806,FBgn0001083
FBtr0342733,FBgn0001083
FBtr0079712,FBgn0001084
FBtr0331992,FBgn0001084
FBtr0075743,FBgn0001085
FBtr0330102,FBgn0001085
FBtr0080833,FBgn0001086
FBtr0073842,FBgn0001087
FBtr0331709,FBgn0001087
FBtr0331710,FBgn0001087
FBtr0079230,FBgn0001089
FBtr0332603,FBgn0001089
FBtr0074656,FBgn0001090
FBtr0074657,FBgn0001090
FBtr0074658,FBgn0001090
FBtr0074659,FBgn0001090
FBtr0088903,FBgn0001091
FBtr0100479,FBgn0001091
FBtr0074112,FBgn0001092
FBtr0332618,FBgn0001092
FBtr0089496,FBgn0001098
FBtr0089497,FBgn0001098
FBtr0089498,FBgn0001098
FBtr0335205,FBgn0001098
FBtr0091757,FBgn0001099
FBtr0334082,FBgn0001099
FBtr0346516,FBgn0001099
FBtr0076934,FBgn0001104
FBtr0074107,FBgn0001105
FBtr0074108,FBgn0001105
FBtr0074110,FBgn0001105
FBtr0074111,FBgn0001105
FBtr0331597,FBgn0001105
FBtr0346794,FBgn0001105
FBtr0075756,FBgn0001108
FBtr0081596,FBgn0001112
FBtr0472596,FBgn0001112
FBtr0079727,FBgn0001114
FBtr0307091,FBgn0001114
FBtr0075697,FBgn0001120
FBtr0088264,FBgn0001122
FBtr0088265,FBgn0001122
FBtr0088266,FBgn0001122
FBtr0088267,FBgn0001122
FBtr0088268,FBgn0001122
FBtr0088269,FBgn0001122
FBtr0088270,FBgn0001122
FBtr0088271,FBgn0001122
FBtr0088272,FBgn0001122
FBtr0333064,FBgn0001122
FBtr0072142,FBgn0001123
FBtr0072143,FBgn0001123
FBtr0072144,FBgn0001123
FBtr0301411,FBgn0001123
FBtr0343279,FBgn0001123
FBtr0087231,FBgn0001124
FBtr0087232,FBgn0001124
FBtr0077867,FBgn0001125
FBtr0077868,FBgn0001125
FBtr0079146,FBgn0001128
FBtr0079147,FBgn0001128
FBtr0079148,FBgn0001128
FBtr0333228,FBgn0001128
FBtr0333229,FBgn0001128
FBtr0333230,FBgn0001128
FBtr0071548,FBgn0001133
FBtr0075139,FBgn0001134
FBtr0079708,FBgn0001137
FBtr0081808,FBgn0001138
FBtr0300040,FBgn0001138
FBtr0330188,FBgn0001138
FBtr0084962,FBgn0001139
FBtr0084963,FBgn0001139
FBtr0084964,FBgn0001139
FBtr0084965,FBgn0001139
FBtr0084966,FBgn0001139
FBtr0302951,FBgn0001139
FBtr0302952,FBgn0001139
FBtr0305047,FBgn0001139
FBtr0337057,FBgn0001139
FBtr0339900,FBgn0001139
FBtr0078114,FBgn0001142
FBtr0078115,FBgn0001142
FBtr0300568,FBgn0001142
FBtr0073494,FBgn0001145
FBtr0073495,FBgn0001145
FBtr0073496,FBgn0001145
FBtr0343561,FBgn0001145
FBtr0343562,FBgn0001145
FBtr0343563,FBgn0001145
FBtr0072461,FBgn0001147
FBtr0072444,FBgn0001148
FBtr0082607,FBgn0001149
FBtr0100410,FBgn0001149
FBtr0070460,FBgn0001150
FBtr0076569,FBgn0001168
FBtr0100153,FBgn0001168
FBtr0083914,FBgn0001169
FBtr0083915,FBgn0001169
FBtr0083916,FBgn0001169
FBtr0083917,FBgn0001169
FBtr0079227,FBgn0001170
FBtr0114554,FBgn0001174
FBtr0076253,FBgn0001179
FBtr0114599,FBgn0001179
FBtr0081950,FBgn0001180
FBtr0081951,FBgn0001180
FBtr0080883,FBgn0001185
FBtr0335138,FBgn0001185
FBtr0071361,FBgn0001186
FBtr0071362,FBgn0001186
FBtr0333335,FBgn0001186
FBtr0087399,FBgn0001187
FBtr0070270,FBgn0001189
FBtr0333115,FBgn0001189
FBtr0085062,FBgn0001197
FBtr0334311,FBgn0001197
FBtr0081180,FBgn0001202
FBtr0071511,FBgn0001206
FBtr0076811,FBgn0001208
FBtr0100225,FBgn0001208
FBtr0334645,FBgn0001208
FBtr0334646,FBgn0001208
FBtr0085298,FBgn0001215
FBtr0085299,FBgn0001215
FBtr0085300,FBgn0001215
FBtr0085301,FBgn0001215
FBtr0085302,FBgn0001215
FBtr0085303,FBgn0001215
FBtr0075761,FBgn0001216
FBtr0075762,FBgn0001216
FBtr0075763,FBgn0001216
FBtr0082707,FBgn0001217
FBtr0073608,FBgn0001218
FBtr0073609,FBgn0001218
FBtr0073610,FBgn0001218
FBtr0073611,FBgn0001218
FBtr0345166,FBgn0001218
FBtr0087568,FBgn0001220
FBtr0339969,FBgn0001220
FBtr0086782,FBgn0001222
FBtr0110964,FBgn0001222
FBtr0110965,FBgn0001222
FBtr0110966,FBgn0001222
FBtr0100558,FBgn0001223
FBtr0100559,FBgn0001223
FBtr0076453,FBgn0001224
FBtr0309504,FBgn0001224
FBtr0076496,FBgn0001225
FBtr0346539,FBgn0001225
FBtr0076454,FBgn0001226
FBtr0346541,FBgn0001226
FBtr0076495,FBgn0001227
FBtr0100653,FBgn0001228
FBtr0100655,FBgn0001228
FBtr0303473,FBgn0001228
FBtr0303474,FBgn0001228
FBtr0076497,FBgn0001229
FBtr0084589,FBgn0001230
